Player ID,Turn Number,Coins,Total Cards,Total Landmarks,Dice Roll,Action,Purchase,Income
1,1,2,1,0,N/A,purchase,images/20.png,0
1,1,2,1,0,N/A,Player 1 Turn End,N/A,0
2,1,5,0,0,N/A,Buying Only Turn,N/A,0
2,1,3,1,0,N/A,purchase,images/11.png,0
1,2,0,2,0,N/A,purchase,images/13.png,0
1,2,0,2,0,N/A,Player 1 Turn End,N/A,0
2,2,3,1,0,N/A,Buying Only Turn,N/A,0
2,2,2,2,0,N/A,purchase,images/3.png,0
1,3,0,2,0,N/A,Player 1 Turn End,N/A,0
2,3,2,2,0,N/A,Buying Only Turn,N/A,0
2,3,1,3,0,N/A,purchase,images/12.png,0
1,4,0,2,0,9,Rolled Dice,N/A,NaN
1,4,0,2,0,N/A,Player 1 Turn End,N/A,0
2,4,1,3,0,5,Rolled Dice,N/A,0
2,4,0,4,0,5,purchase,images/5.png,0
1,4,0,2,0,N/A,Player 1 Turn End,N/A,0
2,5,0,4,0,6,Rolled Dice,N/A,0
2,5,0,4,0,6,skip,N/A,0
1,4,0,2,0,3,Rolled Dice,N/A,0
1,4,0,2,0,N/A,Player 1 Turn End,N/A,0
2,6,3,4,0,7,Rolled Dice,N/A,6
2,6,0,5,0,7,purchase,images/20.png,0
1,4,0,2,0,N/A,Player 1 Turn End,N/A,0
2,7,0,5,0,5,Rolled Dice,N/A,0
2,7,0,5,0,5,skip,N/A,0
1,4,0,2,0,6,Rolled Dice,N/A,0
1,4,0,2,0,N/A,Player 1 Turn End,N/A,0
2,8,0,5,0,6,Rolled Dice,N/A,0
2,8,0,5,0,6,skip,N/A,0
1,4,0,2,0,1,Rolled Dice,N/A,0
1,4,0,2,0,N/A,Player 1 Turn End,N/A,0
2,9,0,5,0,9,Rolled Dice,N/A,NaN
2,9,0,5,0,9,skip,N/A,0
1,4,0,2,0,8,Rolled Dice,N/A,0
1,4,0,2,0,N/A,Player 1 Turn End,N/A,0
2,10,0,5,0,6,Rolled Dice,N/A,0
2,10,0,5,0,6,skip,N/A,0
1,4,0,2,0,6,Rolled Dice,N/A,0
1,4,0,2,0,N/A,Player 1 Turn End,N/A,0
2,11,3,5,0,4,Rolled Dice,N/A,6
2,11,2,6,0,4,purchase,images/12.png,0
1,4,0,2,0,N/A,Player 1 Turn End,N/A,0
2,12,2,6,0,5,Rolled Dice,N/A,0
2,12,0,7,0,5,purchase,images/13.png,0
1,4,0,2,0,8,Rolled Dice,N/A,0
1,4,0,2,0,N/A,Player 1 Turn End,N/A,0
